City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI
Kolkata,2019-11-21,90.03,183.8,51.29,57.15,105.16,31.22,1.14,11.62,42.51,29.77,42.25,4.94,216
Hyderabad,2016-10-03,12.72,33.72,7.59,26.93,7.84,17.95,0.19,9.91,25.02,0.02,0.11,0.13,72
Hyderabad,2016-10-08,16.38,37.54,10.7,39.15,12.18,11.07,0.08,3.2,22.36,0.01,0.21,0.22,55
Hyderabad,2018-03-20,54.74,102.17,5.57,47.03,29.2,22.3,0.87,7.01,47.14,1.17,5.22,1.57,103
Amaravati,2020-03-07,14.26,24.49,2.46,6.19,5.28,10.4,0.52,12.13,26.65,0.13,0.29,0.1,35
Visakhapatnam,2018-01-28,83.94,152.19,21.27,38.1,37.57,17.95,0.99,18.12,80.72,5.16,8.94,2.54,182
Kolkata,2019-10-31,106.31,200.92,32.12,50.3,82.35,17.03,1.22,8.71,35.61,25.03,37.09,4.56,255
Delhi,2015-02-17,161.27,195.78,23.71,25.4,42.76,75.66,10.3,5.6,41.62,3.04,5.62,3.78,327
Amaravati,2018-06-05,28.12,70.21,2.67,13.18,9.28,11.27,0.38,7.28,126.43,4.24,6.34,22.67,155
Visakhapatnam,2020-03-12,23.84,56.3,2.22,24.28,14.57,12.05,0.67,10.58,12.06,2.92,10.93,1.64,61
Delhi,2020-05-10,44.3,110.39,5.21,16.46,14.47,28.71,0.74,12.02,63.71,1.3,9.23,0.15,127
Amritsar,2020-01-08,24.14,31.7,9.89,10.12,18.84,12.01,0.62,6.32,22.11,1.51,1.52,1.9,46
Amritsar,2018-12-05,61.69,137.47,27.29,33.08,55.41,8.51,0.01,4.06,19.18,5.55,2.84,10.88,127
Hyderabad,2019-02-16,48.34,103.18,8.06,46.78,30.37,18.61,0.64,8,28.7,2.12,19.35,6.88,91
Visakhapatnam,2016-09-12,41.43,79.75,17.8,33.77,29.73,18.81,0.71,31.09,72.47,6.04,12.4,7.76,188
Hyderabad,2015-11-21,38.88,106.93,6.34,9.18,13.07,6.83,0.93,8.8,33.12,1.04,5.01,2.12,92
Delhi,2020-01-16,139.06,197.9,28.99,44.21,51.19,43.54,1.11,10.44,18.63,4.05,30.42,0.26,286
Visakhapatnam,2017-03-18,47.45,99.17,13.13,23.88,23.33,9.84,1.02,10.64,17.6,3.89,11.04,3.79,129
Hyderabad,2018-10-17,41.03,53.89,6.99,34.67,23.8,12.6,0.58,4.21,19.11,1.99,15.05,1.68,83
Delhi,2017-12-20,283.24,410.74,44.05,66.41,5.96,78.25,1.91,25,67.35,4.65,14.07,0.05,378
Amritsar,2018-02-23,52.39,143.82,18.45,13.52,43.62,11.79,0.61,4.66,17.32,11.44,7.71,5.94,123
Visakhapatnam,2017-02-18,90.56,171.09,28.42,50.92,46.29,12.55,1.48,15.12,40.75,6.8,14.97,2.16,191
Delhi,2019-11-05,190.41,296.98,32.28,44.32,53.16,33.01,1.43,13.17,39.23,3.75,28.54,0.68,385
Hyderabad,2016-09-13,23.2,43.26,10.21,42.07,14.05,19.98,0.31,9.58,22.48,0.08,0.78,5.44,66
Delhi,2017-12-09,165.76,268.35,60.14,70.14,9.06,57.73,1.77,24.22,68.58,7.52,17.98,0.18,312
Hyderabad,2018-03-28,53.11,113.07,3.09,40.84,24.05,17.08,0.75,9.65,51.24,1.38,6.57,1.85,116
Delhi,2019-12-14,78.59,128.36,26.2,41.29,43.17,38.62,1.18,9.04,22.94,3.38,25.36,0.5,179
Hyderabad,2019-07-12,18.41,39.59,3.63,15.07,10.1,13.38,0.42,8.4,16.69,0.26,2.87,0.09,45
Kolkata,2020-01-22,102.79,200.55,88.75,70.22,149.82,27.56,1.14,13.87,38.81,33.93,46.14,4.94,229
Hyderabad,2015-09-13,60.02,36.67,2.35,19.82,14.51,21.68,0.49,4.02,37.7,0.79,4.07,0.3,164
Amaravati,2020-02-20,49.1,74.88,2.17,12.98,8.68,17.4,0.44,17.74,49.28,0.31,0.67,0.14,77
Visakhapatnam,2019-11-13,41.18,78.79,3.02,26.24,16.35,10.84,0.92,5.74,70.23,2.91,6.99,1.14,98
Amaravati,2020-02-25,24.86,47.43,2.38,10.73,7.64,12.94,0.61,16.73,39.9,0.22,0.5,0.12,53
Delhi,2019-08-20,41.74,95.71,19.92,26.86,31.87,33.03,1.23,8.12,28.41,2.44,24.96,3.44,103
Hyderabad,2016-09-28,42.99,91.44,12.46,57.36,17.01,12.5,0.11,9.43,25.64,0.11,3.79,6.19,86
Delhi,2019-02-15,123.46,194.76,25.13,44.28,45.94,39.19,1.22,15.38,28.15,3.64,24.5,2.02,275
Kolkata,2020-02-03,66.42,139.53,50.78,55.57,106.17,26.17,0.83,10.73,43.77,19.62,27.41,2.58,156
Hyderabad,2019-03-28,55.2,136.99,3.57,40.49,24.28,15.37,0.74,9.55,36.1,2.24,19.35,2.02,114
Delhi,2018-01-24,130.16,192.19,25.05,35.33,56.27,43.08,1.32,11.9,42.04,2.26,6.23,0,286
Delhi,2020-01-06,159.64,247.47,35.49,51.19,60.14,47.01,1.27,11.34,21.99,3.52,31.1,1.13,335
Visakhapatnam,2016-11-27,61.53,102.83,21.07,69.96,49.77,21.14,1.58,20.38,53.4,8.31,14.98,9.34,116
Hyderabad,2017-12-12,66.78,140.38,12.01,62.23,42.71,16.12,1.19,12.94,54.6,6.26,35.81,6.17,144
Delhi,2015-09-21,45.65,109.7,14.64,62.69,56.18,27.96,1.16,13.55,48.02,2.71,7.95,3.01,136
Hyderabad,2019-08-05,7.95,16.23,3.65,12.93,9.21,13.28,0.33,5.9,17.12,1.09,0.6,0.14,37
Visakhapatnam,2019-07-10,31.12,121.6,11.42,40.55,30.85,4.98,0.83,9.07,9.17,4.87,9.05,3.33,129
Amaravati,2018-12-25,92.72,135.61,13.43,77.45,52.11,19.49,1.16,20.19,24.79,0.1,0.22,0.11,221
Patna,2020-03-13,67.26,111.48,61.82,48.93,84.2,21.68,1.04,10.36,12.3,3.54,7.12,1.54,163
Amritsar,2020-06-26,32.85,151.19,23.35,18.01,31.94,13.71,0.66,4.79,16.48,1.29,1.08,8.54,83
Amritsar,2018-11-02,33.74,87.84,20.17,21.19,41.35,12.48,0.01,6,15.41,8.35,1.12,6.98,137
Delhi,2019-12-02,141.12,229.08,50.45,57.23,77.73,38.4,1.49,11.18,32.54,4.35,26.64,0.75,299
Amaravati,2018-01-23,79.01,138.14,6.16,45.43,29.17,20.29,0.06,10.18,58.04,0.18,5.76,0.07,163
Visakhapatnam,2019-06-21,28.8,66.8,11.94,41.36,31.71,4.09,0.82,9.01,21.5,5.3,14.08,4.74,86
Hyderabad,2020-02-25,42.14,107.78,10.13,28.15,21.56,20.99,0.46,8.89,31.4,0.7,4.73,0.1,86
Visakhapatnam,2017-12-31,67.75,113.01,1.62,23.54,13.63,12.58,0.93,8.38,112.64,2.62,3.18,0.56,129
Delhi,2018-04-07,48.46,132.97,18.92,36.94,50.39,42.48,1.12,10.48,54.42,1.43,3.32,0,170
Amritsar,2020-05-27,37.21,66.23,16.63,10.97,26.78,11.95,0.56,14.45,17,1.3,1.1,8.81,77
Delhi,2019-05-28,65.82,183.77,37.41,61.45,66.06,29.84,1.3,20.59,54.43,4.44,30.24,0.43,175
Chandigarh,2019-10-05,25.9,77.68,9.62,4.75,10.27,5.9,0.44,15.09,17.33,4.37,2.27,1.41,72
Visakhapatnam,2019-07-02,29.39,92.4,14.88,50.5,38.96,7.99,0.66,9.93,6.8,5.5,15.59,4.32,88
Visakhapatnam,2017-02-08,97.24,177.05,15.93,54.72,42.07,14.31,1.07,17.66,45.07,0,0,0,198
Visakhapatnam,2016-09-15,13.46,27.95,6.94,14.2,12.09,10.1,0.51,12.08,42.39,3.52,6.14,3.86,71
Hyderabad,2015-09-15,83.87,30.48,3.1,20,16.31,22.34,0.59,5.99,25.88,0.63,2.66,0.08,189
Visakhapatnam,2019-10-12,27.58,112.85,22.29,33.36,35.88,3.35,0.68,21.97,21.4,4.88,14.47,3.04,101
Amritsar,2018-01-26,57.51,120.69,7.2,79.01,99.72,14.09,1.26,2.5,17.71,4.53,7.76,5.08,118
Hyderabad,2018-01-18,65.86,141.85,11.21,55.84,38.39,25.42,0.99,13.02,37.53,3.98,30.44,8.02,129
Hyderabad,2017-10-20,78.69,112.82,7.65,20.04,3.38,11.43,0.06,2.02,84.66,0.2,0.87,0.07,247
Chandigarh,2019-12-03,81.14,140.46,25.39,15.46,27.98,5,0.77,6.36,12.77,7,0.39,0.11,166
Patna,2020-06-02,28.54,127.72,38.19,30.65,23.73,12.01,0.71,5.24,34.91,2.95,5.41,2.03,117
Hyderabad,2019-04-23,34.65,83.12,6.98,38.86,26.08,14.05,0.77,6.3,45.19,1.55,8.79,1.54,96
Gurugram,2020-06-03,46.92,117.56,5.52,14.13,11.72,9.97,0.78,5.85,64.22,5.19,3.26,2.04,135
Amaravati,2018-08-24,15.76,40.74,4.78,19.03,14.1,16.38,1.36,9.46,23.34,0.1,0.09,0.15,89
Visakhapatnam,2017-12-26,123.9,202.38,16.37,60.49,45.4,17.16,1.45,15.18,66.62,4.47,6.7,2.26,296
Visakhapatnam,2019-05-18,40.21,139.76,13.36,42.51,33.59,5.31,0.96,6.94,14.09,2.52,4.46,0.95,117
Visakhapatnam,2018-06-11,30.94,87.54,7.83,44.8,30.2,10.87,0.41,11.93,29.61,4.57,10.77,2.06,82
Hyderabad,2017-04-18,70.99,219.74,10.84,45.1,13.09,23.76,0.25,22.43,56.8,0.26,1.54,0.57,191
Amritsar,2019-09-18,43.51,74.09,13.95,10.94,24.26,9.55,0.35,12.01,26.59,2.04,1.22,2,75
Hyderabad,2020-01-20,39.98,83.38,11.41,30.46,23.89,16.02,0.47,4.75,25.95,0.2,0.99,0.03,77
Gurugram,2020-03-07,35.82,67.45,10.48,27.52,26.92,39.4,0.97,16.04,38.14,2.99,3.93,13.59,79
Delhi,2019-03-27,78.37,186.49,26.56,49.68,50.71,29.54,1.22,20.35,43.23,3.96,26.16,0.37,177
Visakhapatnam,2016-10-02,71.57,99.21,31.72,43.55,44.87,10.45,1.18,16.61,53.92,7.89,14.02,11.93,132
Hyderabad,2016-12-26,53.5,99.82,9.6,55.26,19.56,36.57,0.73,19.3,51.25,0.09,1.31,0.25,106
Hyderabad,2016-08-10,9.41,38.77,4.83,8.64,11.86,12.28,0.45,6.92,9.76,0.07,0.46,0.04,84
Amaravati,2018-06-04,31.26,72.82,2.6,10.78,7.92,9.02,0.4,7.7,100.25,6.66,1,47.94,136
Hyderabad,2015-10-27,122.14,114.7,3.02,0.73,2.57,11.15,1.34,5.66,49.97,1.15,7.58,2.22,226
Amritsar,2020-01-04,96.86,134.78,9.35,10.02,19.27,11.99,0.11,8.12,36.13,3.43,3.81,2,221
Delhi,2019-08-04,46.69,88.15,17.79,30.9,34.32,34.25,1.13,9.96,27.25,2.13,21.93,0.29,101
Visakhapatnam,2018-04-04,23.84,69.72,5.35,30.58,20.62,7.9,0.43,5.31,23.36,3.21,7.32,2.23,70
Amritsar,2019-05-22,58.24,114.75,61.77,47.67,67.32,52.8,1.09,25.23,26.95,4.66,2.16,8.64,106
Amaravati,2019-11-21,63.19,97.39,2.34,13.46,9.15,11.1,0.98,12.61,65.38,0.48,2.41,0.1,141
Amaravati,2019-01-20,96.45,159.1,17.23,71.77,52.18,17.22,0.91,16,22.52,0.07,0.11,0.1,242
Hyderabad,2018-09-13,41.83,77.55,11.55,36.44,28.14,13.71,0.6,6,21.97,3.3,34.71,8.36,78
Visakhapatnam,2019-10-08,57.44,157.35,30.91,65.83,60.15,28.27,0.87,21.33,23.63,9.66,23.43,12.41,114
Hyderabad,2019-04-06,37.69,80.2,5.95,34.78,23.18,15.89,0.57,8.13,43.5,1.33,12.54,2.16,89
Amaravati,2019-07-29,10.89,26.77,5.81,11.39,9.53,2.47,0.56,21.15,19.61,0.1,0.84,0.15,68
Amaravati,2018-12-23,83.4,121.25,2.86,46.47,27.04,20.01,1,12.32,32.68,0.08,0.21,0.1,136
Delhi,2019-11-12,384.34,529.59,51.47,66.1,83.09,40.72,2.25,14.41,48.8,5.85,44.03,1.16,475
Chandigarh,2019-11-07,46.3,84.99,15.71,9.68,14.7,17.99,0.79,8.19,7.92,3.67,6.04,1.02,100
Hyderabad,2017-01-10,61.42,112.53,7.05,36.21,8.33,11.94,0,6.6,53.49,0.03,0.29,0.5,98
Hyderabad,2017-03-02,57.86,130.83,7.72,29.63,8.8,18.51,0.19,10.31,42.14,0.08,0.98,0.31,147
Kolkata,2019-09-10,20.96,43.09,3.85,12.27,15.97,16.92,0.39,3.36,27.4,12.24,12.76,1.34,49
Amaravati,2018-10-26,56.53,128.8,9.84,36.38,27.43,16.01,1.18,13.43,41.17,0.08,0.15,0.1,122
Amritsar,2017-10-22,194.47,357.95,13.87,35.42,49.29,50.88,1.25,5.15,10.86,3.45,7.74,28.02,338
Patna,2020-05-23,25.92,73.06,63.49,17.72,58.97,8.21,0.52,5.92,32.27,1.69,4.6,1.1,95
Delhi,2019-12-09,200.33,311.58,87.59,68.28,114.07,56.75,2.32,12.34,29.47,6.5,45.83,2.04,371
Hyderabad,2019-02-13,64.94,137.41,3.93,56.54,33.09,13.74,0.65,6,29.39,2.02,10.03,1.62,130
Delhi,2018-04-01,75.14,199.8,15.98,37.97,46.42,37.86,1.01,14.13,68.76,2.97,3.11,0,217
Amaravati,2020-01-14,82.66,111.92,1.62,14,8.76,19.57,0.85,17.11,56.49,0.91,1.78,0.13,168
